9F|A
A0|B
A1|C
A2|D
A3|E
A4|F
A5|G
A6|H
A7|I
A8|J
A9|K
AA|L
AB|M
AC|N
AD|O
AE|P
AF|Q
B0|R
B1|S
B2|T
B3|U
B4|V
B5|W
B6|X
B7|Y
B8|Z
B9|a
BA|b
BB|c
BC|d
BD|e
BE|f
BF|g
C0|h
C1|i
C2|j
C3|k
C4|l
C5|m
C6|n
C7|o
C8|p
C9|q
CA|r
CB|s
CC|t
CD|u
CE|v
CF|w
D0|x
D1|y
D2|z
D3|1
D4|2
D5|3
D6|4
D7|5
D8|6
D9|7
DA|8
DB|9
DC|0
DD|?
DE|!
DF|%
E0| 
E1|,
E2|.
E3|-
E4|#
E5|=
E6|'
E7|<
E8|>
E9|$
EA|&
EB|(
EC|)
ED|*
F0|^
